STATE_CODE;CONSTITUENCY
AP;Ichchapuram
AP;Palasa
AP;Tekkali
AP;Pathapatnam
AP;Srikakulam
AP;Amadalavalasa
AP;Etcherla
AP;Narasannapeta
AP;Rajam
AP;Palakonda
AP;Kurupam
AP;Parvathipuram
AP;Salur
AP;Bobbili
AP;Cheepurupalli
AP;Gajapathinagaram
AP;Nellimarla
AP;Vizianagaram
AP;Srungavarapukota
AP;Bhimili
AP;Visakhapatnam East
AP;Visakhapatnam South
AP;Visakhapatnam North
AP;Visakhapatnam West
AP;Gajuwaka
AP;Chodavaram
AP;Madugula
AP;Araku Valley
AP;Paderu
AP;Anakapalle
AP;Pendurthi
AP;Elamanchili
AP;Payakaraopet
AP;Narsipatnam
AP;Tuni
AP;Prathipadu
AP;Pithapuram
AP;Kakinada Rural
AP;Peddapuram
AP;Anaparthy
AP;Kakinada City
AP;Ramachandrapuram
AP;Mummidivaram
AP;Amalapuram
AP;Razole
AP;Gannavaram
AP;Kothapeta
AP;Mandapeta
AP;Rajanagaram
AP;Rajahmundry City
AP;Rajahmundry Rural
AP;Jaggampeta
AP;Rampachodavaram
AP;Kovvur
AP;Nidadavole
AP;Achanta
AP;Palakollu
AP;Narasapuram
AP;Bhimavaram
AP;Undi
AP;Tanuku
AP;Tadepalligudem
AP;Unguturu
AP;Denduluru
AP;Eluru
AP;Gopalapuram
AP;Polavaram
AP;Chintalapudi
AP;Tiruvuru
AP;Nuzvid
AP;Gannavaram
AP;Gudivada
AP;Kaikalur
AP;Pedana
AP;Machilipatnam
AP;Avanigadda
AP;Pamarru
AP;Penamaluru
AP;Vijayawada West
AP;Vijayawada Central
AP;Vijayawada East
AP;Mylavaram
AP;Nandigama
AP;Jaggayyapeta
AP;Pedakurapadu
AP;Tadikonda
AP;Mangalagiri
AP;Ponnuru
AP;Vemuru
AP;Repalle
AP;Tenali
AP;Bapatla
AP;Prathipadu
AP;Guntur West
AP;Guntur East
AP;Chilakaluripet
AP;Narasaraopet
AP;Sattenapalle
AP;Vinukonda
AP;Gurajala
AP;Macherla
AP;Yerragondapalem
AP;Darsi
AP;Parchur
AP;Addanki
AP;Chirala
AP;Santhanuthalapadu
AP;Ongole
AP;Kandukur
AP;Kondapi
AP;Markapuram
AP;Giddalur
AP;Kanigiri
AP;Kavali
AP;Atmakur
AP;Kovur
AP;Nellore City
AP;Nellore Rural
AP;Sarvepalli
AP;Gudur
AP;Sullurpeta
AP;Venkatagiri
AP;Udayagiri
AP;Badvel
AP;Rajampet
AP;Kadapa
AP;Kodur
AP;Rayachoti
AP;Pulivendla
AP;Kamalapuram
AP;Jammalamadugu
AP;Proddatur
AP;Mydukur
AP;Allagadda
AP;Srisailam
AP;Nandikotkur
AP;Kurnool
AP;Panyam
AP;Nandyal
AP;Banaganapalle
AP;Dhone
AP;Pattikonda
AP;Kodumur
AP;Yemmiganur
AP;Mantralayam
AP;Adoni
AP;Alur
AP;Rayadurg
AP;Uravakonda
AP;Guntakal
AP;Tadipatri
AP;Singanamala
AP;Anantapur Urban
AP;Kalyandurg
AP;Raptadu
AP;Madakasira
AP;Hindupur
AP;Penukonda
AP;Puttaparthi
AP;Dharmavaram
AP;Kadiri
AP;Thamballapalle
AP;Pileru
AP;Madanapalle
AP;Punganur
AP;Chandragiri
AP;Tirupati
AP;Srikalahasti
AP;Sathyavedu
AP;Nagari
AP;Gangadhara Nellore
AP;Chittoor
AP;Puthalapattu
AP;Palamaner
AP;Kuppam
AR;Lumla
AR;Tawang
AR;Mukto
AR;Dirang
AR;Kalaktang
AR;Thrizino-Buragaon
AR;Bomdila
AR;Bameng
AR;Chayangtajo
AR;Seppa East
AR;Seppa West
AR;Pakke-Kasang
AR;Itanagar
AR;Doimukh
AR;Sagalee
AR;Yachuli
AR;Ziro-Hapoli
AR;Palin
AR;Nyapin
AR;Tali
AR;Koloriang
AR;Nacho
AR;Taliha
AR;Daporijo
AR;Raga
AR;Damporijo
AR;Liromoba
AR;Likabali
AR;Basar
AR;Along West
AR;Along East
AR;Rumgong
AR;Mechuka
AR;Tuting-Yingkiong
AR;Pangin
AR;Nari-Koyu
AR;Pasighat West
AR;Pasighat East
AR;Mebo
AR;Mariyang-Geku
AR;Anini
AR;Dambuk
AR;Roing
AR;Tezu
AR;Hayuliang
AR;Chowkham
AR;Namsai
AR;Lekang
AR;Bordumsa-Diyum
AR;Miao
AR;Nampong
AR;Changlang South
